@Relation anxiety

@Attribute gsr NUMERIC
@Attribute tempe NUMERIC
@Attribute hr NUMERIC
@Attribute hrv NUMERIC
@Attribute anxiety NUMERIC

@DATA
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
312.00, 35.60, 91.00, 712.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 30
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
325.00, 35.55, 91.00, 714.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
336.00, 35.50, 91.00, 694.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
345.00, 35.45, 91.00, 715.00, 40
353.00, 35.11, 91.00, 332.00, 40
353.00, 35.11, 91.00, 332.00, 40
353.00, 35.11, 91.00, 332.00, 40
353.00, 35.11, 91.00, 332.00, 40
353.00, 35.11, 91.00, 332.00, 40
353.00, 35.11, 91.00, 332.00, 40
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
353.00, 35.11, 91.00, 332.00, 30
360.00, 35.45, 93.00, 332.00, 30
360.00, 35.45, 93.00, 332.00, 30
360.00, 35.45, 93.00, 332.00, 30
360.00, 35.45, 93.00, 332.00, 30
360.00, 35.45, 93.00, 332.00, 30
360.00, 35.45, 93.00, 332.00, 30
360.00, 35.45, 93.00, 332.00, 30
360.00, 35.45, 93.00, 332.00, 30
