@Relation anxiety

@Attribute gsr NUMERIC
@Attribute tempe NUMERIC
@Attribute hr NUMERIC
@Attribute anxiety NUMERIC

@DATA
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
312.00, 35.60, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 30
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
325.00, 35.55, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
336.00, 35.50, 91.00, 40
