@relation traind

@attribute MEAN numeric
@attribute MAXF numeric
@attribute MINF numeric
@attribute RANGEF numeric
@attribute KURT numeric
@attribute SKEW numeric
@attribute F_Label {0,1,2,3,4,5,6,7,8}

@data
0.834689,0.97847,0.615311,0.363159,0.920909,0.841949,0
5.309504,5.415726,5.078888,0.336838,0.357673,-0.05874,0
6.205318,6.394577,5.789948,0.60463,-1.225695,-0.573274,0
6.10613,6.27594,5.789948,0.485992,0.081041,-0.58716,0
1.679477,1.845932,1.320267,0.525665,-0.427297,0.668441,0
0.813061,0.962067,0.515747,0.44632,4.426248,1.093398,0
6.041767,6.214905,5.823517,0.391388,0.333987,0.003481,0
11.183996,11.33728,10.99968,0.337601,0.535456,-0.330711,0
5.50275,5.620193,5.24025,0.379944,-1.235564,-0.109505,0
6.20131,6.394577,5.789948,0.60463,-1.449679,-0.407023,0
1.226441,1.52092,0.920868,0.600052,-1.351986,-0.350639,0
0.970459,1.112366,0.788498,0.323868,3.841172,1.019831,0
0.968801,1.117325,0.677109,0.440216,3.840135,1.592962,0
1.34146,1.570511,1.058197,0.512314,-0.265072,0.732206,0
1.71365,1.939392,1.35994,0.579453,-0.322541,0.738465,0
1.35604,1.570511,1.038742,0.531769,-0.001998,0.158865,0
0.802558,0.947952,0.515747,0.432205,3.282877,0.843033,0
0.797932,0.933075,0.515747,0.417328,3.521446,0.869912,0
0.87668,1.026154,0.615311,0.410843,1.70689,0.376887,0
0.877784,1.026154,0.615311,0.410843,1.777824,0.47184,0
5.521679,5.620193,5.327225,0.292969,0.955175,-0.671286,0
5.310226,5.415726,5.078888,0.336838,0.137401,-0.038824,0
1.291219,1.454163,0.912094,0.542068,4.713785,1.266351,0
0.965408,1.111984,0.677109,0.434875,6.104305,1.357696,0
1.361904,1.570511,1.003265,0.567245,1.038773,0.384978,0
11.241321,11.420059,10.987854,0.432205,-1.08883,0.315809,0
1.844832,2.10495,1.421738,0.683212,-0.726732,0.342824,0
1.911013,2.183914,1.485062,0.698853,-1.026038,0.425107,0
0.835335,0.97847,0.615311,0.363159,0.831571,0.816661,0
0.833252,0.97847,0.615311,0.363159,1.140078,0.898127,0
1.305054,1.469803,1.024628,0.445175,0.998086,0.69924,0
0.980515,1.112366,0.761795,0.350571,4.750037,1.073877,0
1.348687,1.570511,1.081467,0.489044,-0.583798,0.3547,0
5.981136,6.16951,5.626297,0.543213,0.897415,0.575343,0
1.842835,2.10495,1.421738,0.683212,-0.723648,0.334364,0
0.867508,1.026154,0.615311,0.410843,0.687259,-0.000653,0
5.995453,6.222153,5.626297,0.595856,0.424544,0.968202,0
1.237104,1.52092,0.920868,0.600052,-1.10636,-0.43529,0
0.7802,0.905228,0.489426,0.415802,5.723933,1.148986,0
1.31902,1.503754,1.058197,0.445557,2.617428,0.977706,0
0.778486,0.905228,0.489426,0.415802,5.263648,1.153192,0
0.786232,0.933075,0.507355,0.42572,4.597839,1.126668,0
6.037675,6.305313,5.670929,0.634384,-0.519166,0.864686,0
5.351101,5.464554,5.158234,0.30632,-1.006072,0.340198,0
1.815696,2.025223,1.421738,0.603485,-0.93669,0.128575,0
0.963829,1.111984,0.727844,0.38414,7.079631,1.352352,0
0.82268,0.964355,0.636292,0.328064,3.311146,1.182917,0
0.77207,0.905228,0.489426,0.415802,3.925855,0.889776,0
11.201055,11.678696,10.99968,0.679016,16.219826,3.556199,0
0.972497,1.111603,0.740433,0.37117,2.479755,0.31522,0
1.2568,1.402664,0.951385,0.451279,5.349014,1.388022,0
1.307942,1.469803,1.056671,0.413132,1.090635,0.645958,0
6.038327,6.214905,5.823517,0.391388,0.34967,0.076716,0
0.8626,1.018524,0.615311,0.403214,0.232536,0.053243,0
1.306044,1.469803,1.056671,0.413132,0.935496,0.673707,0
5.733001,5.856323,5.375671,0.480652,0.60386,-1.227964,0
1.788539,1.993179,1.421738,0.571442,-1.139263,0.080794,0
11.177847,11.327744,10.982895,0.344849,0.275253,0.336514,0
2.360629,2.737808,1.695633,1.042175,0.1538,-1.165445,0
1.712933,1.925659,1.376343,0.549316,0.20236,0.744577,0
5.518251,5.620193,5.327225,0.292969,0.429624,-0.700879,0
5.681123,5.950928,5.375671,0.575256,-1.149301,0.000499,0
0.96738,1.093674,0.72937,0.364304,4.447008,1.082616,0
11.369636,11.711121,11.094666,0.616455,-0.707943,0.527585,0
11.417595,11.742783,11.168289,0.574493,-1.183557,0.423546,0
1.2556,1.404572,0.951385,0.453186,5.973967,1.393278,0
11.554875,12.217712,10.99968,1.218033,-1.636856,0.36595,0
0.970534,1.112366,0.788498,0.323868,3.83438,1.02023,0
2.100926,2.737808,1.535034,1.202774,-1.590522,0.111643,0
1.36166,1.570511,1.003265,0.567245,0.986204,0.362445,0
1.314419,1.502991,1.058197,0.444794,2.437538,0.875622,0
0.963524,1.108932,0.637436,0.471497,2.967553,0.471782,0
1.266483,1.52092,0.870895,0.650024,-1.25734,0.106031,0
1.656212,1.791382,1.320267,0.471115,2.278061,0.657109,0
1.326908,1.519775,1.058197,0.461578,1.994152,1.254282,0
1.663919,1.794052,1.320267,0.473785,0.566956,0.541346,0
1.259477,1.419449,0.930023,0.489426,5.531091,1.385136,0
0.980573,1.112366,0.761795,0.350571,4.866689,1.076453,0
0.828159,0.97847,0.636292,0.342178,2.169421,1.089533,0
11.545849,11.970901,11.21788,0.753021,-0.822305,0.385075,0
0.967764,1.111603,0.637436,0.474167,2.699443,0.277275,0
1.793221,2.008057,1.421738,0.586319,-1.102707,0.080039,0
0.885357,1.031494,0.628662,0.402832,2.083062,0.660855,0
11.759827,12.217712,10.99968,1.218033,-1.214346,-0.675084,0
1.04898,1.470184,0.677109,0.793076,0.727194,1.427824,0
6.225668,6.394577,5.949783,0.444794,1.334325,-1.388622,0
0.852606,1.018524,0.615311,0.403214,-0.116806,0.274941,0
1.08018,1.52092,0.677109,0.843811,-0.185403,1.134556,0
1.656287,1.791382,1.320267,0.471115,2.996337,0.641096,0
5.538982,5.807877,5.337906,0.469971,13.705794,3.368021,0
